title,description,final_description,skill_level,pattern_link,local_path
Tidepool Basket Set,"Beautiful and useful this basket set is a great gift. The baskets are worked in the round in single crochet tapestry with two colors for pattern. An inner liner provides extra support on bottom and sides and is hidden by an inner crocheted layer in a third color. Samples used 3 balls of C1 & CC3, and 1 ball of C2 to make both baskets.","Tidepool Basket Set Beautiful and useful this basket set is a great gift. The baskets are worked in the round in single crochet tapestry with two colors for pattern. An inner liner provides extra support on bottom and sides and is hidden by an inner crocheted layer in a third color. Samples used 3 balls of C1 & CC3, and 1 ball of C2 to make both baskets. Crochet Intermediate Small Basket: 7"" Diameter x 5"" High, Large Basket: 9"" Diameter x 6"" High Worsted Cotton G/6 (4.0-4.25mm) crochet hook",Intermediate,https://www.crochet.com/tidepool-basket-set/p/56361,Tidepool_Basket_Setby_Leshia_Tweddle.jpg
Tidings Holiday Ornament Set,"Inspired by pixel art, simplicity, cozy feelings, and happy memories, these holiday designs add a hint of modernity and uniqueness to the timeless themes of winter celebrations.","Tidings Holiday Ornament Set Inspired by pixel art, simplicity, cozy feelings, and happy memories, these holiday designs add a hint of modernity and uniqueness to the timeless themes of winter celebrations. Crochet Beginner 3.5"" x 2.5"" individual ornament Lace Cotton Size 4/0 (2.5mm) crochet hook",Beginner,https://www.crochet.com/tidings-holiday-ornament-set/p/58274,Tidings_Holiday_Ornament_Setby_Amber_Bliss_Caldéron.jpg
Times Square C2C Cardigan,"With a sophisticated style and color palette, the Times Square C2C Cardigan is inspired by the fast-paced, geometric vibe of Manhattan living. With its bold colors and contemporary motif, this comfy and versatile sweater proves that Corner to Corner (C2C) crochet is not just for blankets! This cardigan is worked with Corner to Corner technique, with Back and Fronts worked separately. Edging is worked directly onto panels to achieve simple armhole and neck shaping. Sleeves are worked separately from bottom up. Single Crochet border is added at the end. Note: Original color is no longer available and we have made a suggestion of a comparable color in the Choose Colors section, but it will not be an exact match to the sample shown in the image.","Times Square C2C Cardigan With a sophisticated style and color palette, the Times Square C2C Cardigan is inspired by the fast-paced, geometric vibe of Manhattan living. With its bold colors and contemporary motif, this comfy and versatile sweater proves that Corner to Corner (C2C) crochet is not just for blankets! This cardigan is worked with Corner to Corner technique, with Back and Fronts worked separately. Edging is worked directly onto panels to achieve simple armhole and neck shaping. Sleeves are worked separately from bottom up. Single Crochet border is added at the end. Note: Original color is no longer available and we have made a suggestion of a comparable color in the Choose Colors section, but it will not be an exact match to the sample shown in the image. Crochet Intermediate 36.75"" finished chest measurement, 39.75"" finished chest measurement, 42.75"" finished chest measurement, 48.5"" finished chest measurement, 51"" finished chest measurement, 56.75"" finished chest measurement, 59.75"" finished chest measurement, 62.5"" finished chest measurement Worsted Wool Size G/6 (4.00mm) Crochet Hook",Intermediate,https://www.crochet.com/times-square-c2c-cardigan/p/58103,Times_Square_C2C_Cardiganby_Liz_Salazar.jpg
Tisket Tasket Wall Hanging,This project is a marriage of shape and texture. Dive into this sea of bohemian vibes and dimensional triangles. The finishing tassels add another layer of texture and movement to this static piece. The Tisket Tasket Wall Hanging is worked flat from the bottom up. The border is created by working flat continuous rounds after the bobble details are complete. The dowel used to hold this project is secured to the project using a series of Half Double Crochet and Chain stitches.,"Tisket Tasket Wall Hanging This project is a marriage of shape and texture. Dive into this sea of bohemian vibes and dimensional triangles. The finishing tassels add another layer of texture and movement to this static piece. The Tisket Tasket Wall Hanging is worked flat from the bottom up. The border is created by working flat continuous rounds after the bobble details are complete. The dowel used to hold this project is secured to the project using a series of Half Double Crochet and Chain stitches. Crochet Intermediate 20""x 19"" (not including tassels) Worsted Cotton Size H/8 (5.00mm) Crochet hook",Intermediate,https://www.crochet.com/tisket-tasket-wall-hanging/p/58212,Tisket_Tasket_Wall_Hangingby_WeCrochet_Design_Team.jpg
Train Car Tote,"Roomy and multi-functional, sturdy and practical, this crochet bag will become your go-to tote. Worked with an easy to remember repeat, this spiked stitch bag has character and function. Add a pop of color, or two, with the ring embellishments on the handle, a perfect way to recognize your bag quickly. Make it for yourself or as the perfect gift. Brava™ (worsted, 100% Premium Acrylic; 218yds/100g): MC Silver 28450; 4 skeins C1 Wine 28456; 1 skein","Train Car Tote Roomy and multi-functional, sturdy and practical, this crochet bag will become your go-to tote. Worked with an easy to remember repeat, this spiked stitch bag has character and function. Add a pop of color, or two, with the ring embellishments on the handle, a perfect way to recognize your bag quickly. Make it for yourself or as the perfect gift. Brava™ (worsted, 100% Premium Acrylic; 218yds/100g): MC Silver 28450; 4 skeins C1 Wine 28456; 1 skein Crochet Intermediate 17"" Wide x 12"" Tall, excluding handles Worsted Acrylic US H/8 (5mm) Crochet hook",Intermediate,https://www.crochet.com/train-car-tote/p/58287,Train_Car_Toteby_Leshia_Tweddle.jpg
Traveling Vines Mitts,"Crochet your own green thumb with these mitts featuring vines that travel up your arms. A beautiful, leafy post stitch pattern graces the tops of these stretchy, well-fitting mitts. The ribbed cuff is worked back and forth in turned rows and slip stitched to form a tube. Mitts are worked in the round from cuff to finger opening, increasing for thumb gusset as the hand is worked. The chart is worked in the round; read each chart row from right to left as a RS row.","Traveling Vines Mitts Crochet your own green thumb with these mitts featuring vines that travel up your arms. A beautiful, leafy post stitch pattern graces the tops of these stretchy, well-fitting mitts. The ribbed cuff is worked back and forth in turned rows and slip stitched to form a tube. Mitts are worked in the round from cuff to finger opening, increasing for thumb gusset as the hand is worked. The chart is worked in the round; read each chart row from right to left as a RS row. Crochet Intermediate Small/Medium, Large Fingering Wool U.S. C/2 (2.75 mm) crochet hook",Intermediate,https://www.crochet.com/traveling-vines-mitts/p/58075,Traveling_Vines_Mittsby_Brenda_KB_Anderson.jpg
Triana Shawl,"A light and lacy shawl inspired by the bright and beautiful sights found in the neighborhood of Triana in Seville, Spain. Lacy stitches represent the arches on the famous Triana bridge. The shawl is worked back and forth in rows with increases made along just one side of the shawl to create diagonal stripes across the entire shawl and a slightly asymmetric shape. The pattern features sections of lace stitches and more solid sections of crossed stitches.","Triana Shawl A light and lacy shawl inspired by the bright and beautiful sights found in the neighborhood of Triana in Seville, Spain. Lacy stitches represent the arches on the famous Triana bridge. The shawl is worked back and forth in rows with increases made along just one side of the shawl to create diagonal stripes across the entire shawl and a slightly asymmetric shape. The pattern features sections of lace stitches and more solid sections of crossed stitches. Intermediate 28"" x 57"" Fingering Wool Size G/6 (4.0mm) Crochet hook",Intermediate,https://www.crochet.com/triana-shawl/p/58144,Triana_Shawlby_Elisabeth_Davis_de_Herraiz.jpg
Trio of Textured Cushions,"Three textured crochet cushions, using interesting stitch techniques in timeless shades, will add a layer of Hygge to your home life. Make one, or mix and match all three in various colors to create your perfect home dÃ©cor. Worked flat, crochet these simple rectangles in increasingly complex stitches, then fold over, seam and stuff with your choice of cushion insert. The yarn is held double for an extra-squishy texture, while the stitch repeats are worked over the width of the cushion, and are quick to master and memorize.","Trio of Textured Cushions Three textured crochet cushions, using interesting stitch techniques in timeless shades, will add a layer of Hygge to your home life. Make one, or mix and match all three in various colors to create your perfect home dÃ©cor. Worked flat, crochet these simple rectangles in increasingly complex stitches, then fold over, seam and stuff with your choice of cushion insert. The yarn is held double for an extra-squishy texture, while the stitch repeats are worked over the width of the cushion, and are quick to master and memorize. Crochet Intermediate 16"" square Worsted Cotton US K/10.5 (6.5mm) & US L/11 (8mm) Crochet Hook",Intermediate,https://www.crochet.com/trio-of-textured-cushions/p/58010,Trio_of_Textured_Cushionsby_Tiam_Safari.jpg
Trio of Trinket Bowls,"With graphic green and light gray designs, this trio of trinket basket bowls is the perfect project to whip up when you need to inject some boho charm into your home (or just need a place to throw your keys on the counter!) Designed for basic crochet skills and worked by crocheting over worsted weight yarn in the round and alternating shades of CotLin to give structure, these bowls will be whipped up in a flash! Tug the base yarn gently after every few stitches to ensure the foundation is firm. Some of the yarns used in the sample are no longer available. We have made some substitution suggestions in the Kit Builder.","Trio of Trinket Bowls With graphic green and light gray designs, this trio of trinket basket bowls is the perfect project to whip up when you need to inject some boho charm into your home (or just need a place to throw your keys on the counter!) Designed for basic crochet skills and worked by crocheting over worsted weight yarn in the round and alternating shades of CotLin to give structure, these bowls will be whipped up in a flash! Tug the base yarn gently after every few stitches to ensure the foundation is firm. Some of the yarns used in the sample are no longer available. We have made some substitution suggestions in the Kit Builder. Crochet Intermediate 5.25"" diameter, 1.5"" high Super Bulky, DK Acrylic Size 7 (4.5mm) crochet hook",Intermediate,https://www.crochet.com/trio-of-trinket-bowls/p/58114,Trio_of_Trinket_Bowlsby_Tiam_Safari.jpg
Tuff  Granny Throw,"Need a throw in a hurry? The Tuff Granny Throw can be done in a matter of hours, with super bulky yarn and a large crochet hook. Great for beginners, this easy pattern can be mastered in a few rounds. You'll be done before you know it and will certainly keep you warm on the coldest of days! This pattern is also easily customizable for your favorite colors and size. Some colors used in the samples are no longer available; we have made color suggestions in the choose color section.","Tuff Granny Throw Need a throw in a hurry? The Tuff Granny Throw can be done in a matter of hours, with super bulky yarn and a large crochet hook. Great for beginners, this easy pattern can be mastered in a few rounds. You'll be done before you know it and will certainly keep you warm on the coldest of days! This pattern is also easily customizable for your favorite colors and size. Some colors used in the samples are no longer available; we have made color suggestions in the choose color section. Crochet Beginner 37"" square - Cheery, 37"" square - Rainbow, 37"" square - Sunset Super Bulky Wool Size Q (15mm): crochet hook",Beginner,https://www.crochet.com/tuff-granny-throw/p/55785,Tuff__Granny_Throwby_Stacey_Winklepleck.jpg
Tuff Puff Rainbow Wall Hanging,"This boho-inspired wall hanging is quick to crochet and makes a great home dec accent for a variety of rooms. Each row of the pattern is worked in a new color, with every row as a RS row. Begin each row on the same side and fasten off at end of every row.","Tuff Puff Rainbow Wall Hanging This boho-inspired wall hanging is quick to crochet and makes a great home dec accent for a variety of rooms. Each row of the pattern is worked in a new color, with every row as a RS row. Begin each row on the same side and fasten off at end of every row. Crochet Beginner 12'' x 14'' w/o fringe (12'' x 28'' w/ fringe) Super Bulky Wool Size P/Q (15 mm) crochet hook",Beginner,https://www.crochet.com/tuff-puff-rainbow-wall-hanging/p/58170,Tuff_Puff_Rainbow_Wall_Hangingby_Heather_Mann.jpg
Tunisian Full Stitch Cowl,"A beautiful cowl cascading in length makes for the perfect fall and winter accessory. This accessory is a wonderful mix of regular crochet for the ribbing and Tunisian crochet for the body of the cowl. Made with hand dyed DK weight yarn, this cowl is a must make for an easy to wear accessory.","Tunisian Full Stitch Cowl A beautiful cowl cascading in length makes for the perfect fall and winter accessory. This accessory is a wonderful mix of regular crochet for the ribbing and Tunisian crochet for the body of the cowl. Made with hand dyed DK weight yarn, this cowl is a must make for an easy to wear accessory. Crochet Beginner 12” long x 20” (top / neck circ) and 26” (bottom circ.) after blocking DK Wool US J/10 (6.0mm) double-ended Tunisian Crochet hook with varying cord lengths up to 18”; US I/9 (5.5mm) crochet hook for the ribbing",Beginner,https://www.crochet.com/tunisian-full-stitch-cowl/p/N5066,Tunisian_Full_Stitch_Cowlby_Anne_Van_Winkle.jpg
Tunisian Lattice Dishcloth,The Tunisian Lattice dishcloth offers simple grace to your dishcloth collection. The thick fabric created by the Tunisian stitches helps make a secure and absorbent dishcloth.,"Tunisian Lattice Dishcloth The Tunisian Lattice dishcloth offers simple grace to your dishcloth collection. The thick fabric created by the Tunisian stitches helps make a secure and absorbent dishcloth. Crochet Intermediate 12"" square Worsted Cotton Size F/5 (3.75mm) Tunisian Crochet hook",Intermediate,https://www.crochet.com/tunisian-lattice-dishcloth/p/58327,Tunisian_Lattice_Dishclothby_Sarah_Nairalez.jpg
Tunisian Monstera Blanket and Pillow,"This monstera leaf blanket and pillow bring rich and vibrant colors to your home directly from the tropical forests of southern Mexico. Make yourself a refreshing drink and let them take you on an adventure, minus the mosquitos and all the crawling and creeping creatures! The blanket and both sides of the pillow are worked flat with RS always facing. Both blanket and cushion start with a border in C2, while the monstera leaf is worked in MC and C1.","Tunisian Monstera Blanket and Pillow This monstera leaf blanket and pillow bring rich and vibrant colors to your home directly from the tropical forests of southern Mexico. Make yourself a refreshing drink and let them take you on an adventure, minus the mosquitos and all the crawling and creeping creatures! The blanket and both sides of the pillow are worked flat with RS always facing. Both blanket and cushion start with a border in C2, while the monstera leaf is worked in MC and C1. Crochet Intermediate Blanket 63"" wide x 57.5"" high; Pillow 18"" square Worsted Wool 7mm Tunisian crochet hook with 16"" cable for pillow, 60"" cable for blanket",Intermediate,https://www.crochet.com/tunisian-monstera-blanket-and-pillow/p/58069,Tunisian_Monstera_Blanket_and_Pillowby_Miroslava_Mihalkova.jpg
Twilight Top,"Inspired by the openwork of a garden trellis, this design creates the same effect with lacy stitches, giving the fabric great drape. The yoke of the garment delights the eye with a textural contrasting stitch pattern. The Twilight Top is a quick and easy project with a circular yoke and top-down seamless construction. It is worked in continuous rounds using a double ended-hook.","Twilight Top Inspired by the openwork of a garden trellis, this design creates the same effect with lacy stitches, giving the fabric great drape. The yoke of the garment delights the eye with a textural contrasting stitch pattern. The Twilight Top is a quick and easy project with a circular yoke and top-down seamless construction. It is worked in continuous rounds using a double ended-hook. Crochet Intermediate 36.25"" finished chest circumference, 40.5"" finished chest circumference, 44.25"" finished chest circumference, 48.5"" finished chest circumference, 52.5"" finished chest circumference Fingering Cotton U.S. J/10 (6 mm) double-ended crochet hook",Intermediate,https://www.crochet.com/twilight-top/p/58081,Twilight_Topby_Kabila_Sri_Ponnusamy.jpg
Twin Rainbow Throw,"This beautiful throw is a mix of minimalism and boho. The rainbow pops, both in color and dimension, off the blanket's simple texture as the faux fur adds just a touch of extra softness. The Twin Rainbow Throw is a rectangular blanket, worked flat from the short end with one stitch and no colorwork. The rainbow is added after the blanket is worked up using surface stitches. Full tassels are the finishing touch! Some colors used in the sample are no longer available; we have made color suggestions in the kit builder below.","Twin Rainbow Throw This beautiful throw is a mix of minimalism and boho. The rainbow pops, both in color and dimension, off the blanket's simple texture as the faux fur adds just a touch of extra softness. The Twin Rainbow Throw is a rectangular blanket, worked flat from the short end with one stitch and no colorwork. The rainbow is added after the blanket is worked up using surface stitches. Full tassels are the finishing touch! Some colors used in the sample are no longer available; we have made color suggestions in the kit builder below. Crochet Intermediate 54"" x 43.25"" Bulky, Super Bulky Wool Sizes L/11 (8.0mm) & N-P/15 (10.0mm) Crochet hooks",Intermediate,https://www.crochet.com/twin-rainbow-throw/p/58215,Twin_Rainbow_Throwby_Chrisandra_Skipper.jpg
Two-Color Cable Cowl,"An all-over pattern of post stitches creates a geometric effect in this snuggly cowl. The pattern is written for two sizes, the larger of which can be wrapped twice around your neck. This cowl is worked in the round. Each round of pattern is worked twice - once in MC and a second time in CC. Unless otherwise noted, throughout the cabled section, MC stitches are only worked into MC stitches while CC stitches are only worked into CC stitches.","Two-Color Cable Cowl An all-over pattern of post stitches creates a geometric effect in this snuggly cowl. The pattern is written for two sizes, the larger of which can be wrapped twice around your neck. This cowl is worked in the round. Each round of pattern is worked twice - once in MC and a second time in CC. Unless otherwise noted, throughout the cabled section, MC stitches are only worked into MC stitches while CC stitches are only worked into CC stitches. Crochet Intermediate 25.5"" x 13"" , 49"" circumference x 13"" deep Aran/Heavy Worsted Alpaca US I/9 (5.5mm) Crochet Hook",Intermediate,https://www.crochet.com/two-color-cable-cowl/p/58034,Two-Color_Cable_Cowlby_Amy_Gunderson.jpg
Two Color Hat,The Two-Color Hat is a crochet hat pattern made with super bulky yarn that has a skill level of easy.,"Two Color Hat The Two-Color Hat is a crochet hat pattern made with super bulky yarn that has a skill level of easy. Crochet Beginner 21"" circumference Super Bulky L/11 (8mm): crochet hook",Beginner,https://www.crochet.com/two-color-hat/p/N7223,Two_Color_Hatby_Lion_Brand.jpg
Ultimate Crochet Palette Blanket,"Crochet this full-sized afghan, using each color of our beloved Palette! Each square measures 5""; using all 150 colors creates a beautiful rainbow throw measuring 50"" x 75"". Each square is worked from the inside out with each color, bordered by a round of white. Use the suggested color layout or create your own personal colorway - the possibilities are endless! As shown, this pattern uses every color of our Palette line. Each square uses approximately 10 grams of yarn or about 50 yards of the main color. You will need a total of 6 skeins of White for the border, as well as sewing the squares together. This pattern also uses a Size D (3.25mm) crochet hook. See all of our Palette colors here as well as our complete 150 Palette Sampler.","Ultimate Crochet Palette Blanket Crochet this full-sized afghan, using each color of our beloved Palette! Each square measures 5""; using all 150 colors creates a beautiful rainbow throw measuring 50"" x 75"". Each square is worked from the inside out with each color, bordered by a round of white. Use the suggested color layout or create your own personal colorway - the possibilities are endless! As shown, this pattern uses every color of our Palette line. Each square uses approximately 10 grams of yarn or about 50 yards of the main color. You will need a total of 6 skeins of White for the border, as well as sewing the squares together. This pattern also uses a Size D (3.25mm) crochet hook. See all of our Palette colors here as well as our complete 150 Palette Sampler. Crochet Intermediate 50 x 75"" Fingering Wool Size D (3.25mm): crochet hook",Intermediate,https://www.crochet.com/ultimate-crochet-palette-blanket/p/55757,Ultimate_Crochet_Palette_Blanketby_Allison_Griffith.jpg
Unidentified Mooing Objects,"Test your dexterity with this fun and clever game. Whimsical and sweet, you won’t mind helping our alien friend catch the fluffy round cow. Animation™ (DK, 100% Mercerized Cotton; 139yds/50g), 1 skein each C1: Butterscotch N2679 C2: Swan N2700 C3: Linen N2693 C4: White N2702 C5: Coffee N2682 C6: Jade N2689 C7: Inlet N2688 C8: Black N2675 C9: Azure N2674 Alternatively, Animation™ Amigurumi Set (DK, 100% Mercerized Cotton; 698yds/250g) in Flora & Fauna  29876 and  Primary Colors 29878 may be substituted.","Unidentified Mooing Objects Test your dexterity with this fun and clever game. Whimsical and sweet, you won’t mind helping our alien friend catch the fluffy round cow. Animation™ (DK, 100% Mercerized Cotton; 139yds/50g), 1 skein each C1: Butterscotch N2679 C2: Swan N2700 C3: Linen N2693 C4: White N2702 C5: Coffee N2682 C6: Jade N2689 C7: Inlet N2688 C8: Black N2675 C9: Azure N2674 Alternatively, Animation™ Amigurumi Set (DK, 100% Mercerized Cotton; 698yds/250g) in Flora & Fauna 29876 and Primary Colors 29878 may be substituted. Crochet Intermediate Alien and Cow (complete set), Alien 4"" x 7"" circ (head and UFO), Cow: 3"" tall x 3"" long (nose to tail) x 2.5"" wide (side to side) DK Cotton D-3 (3.25 mm) Crochet hook",Intermediate,https://www.crochet.com/unidentified-mooing-objects/p/58355,Unidentified_Mooing_Objectsby_Megan_Kreiner.jpg
Urban Garden Throw,"Crocheting with different color combinations is always fun but when 24 curated colors are available in a mini-pack, playing with color becomes effortless. With so many color combinations possible, it's hard to put the project down once you start. Hexagon motifs are joined-as-you-go (jaygo) on all six sides. Half-hexagon motifs are added to the sides after all full-size hexagon motifs are joined. A simple edging completes the throw which is then finished with fringe.","Urban Garden Throw Crocheting with different color combinations is always fun but when 24 curated colors are available in a mini-pack, playing with color becomes effortless. With so many color combinations possible, it's hard to put the project down once you start. Hexagon motifs are joined-as-you-go (jaygo) on all six sides. Half-hexagon motifs are added to the sides after all full-size hexagon motifs are joined. A simple edging completes the throw which is then finished with fringe. Intermediate 39.5"" x 55"" (without fringe) Worsted Acrylic US I/9 (5.5 mm) Crochet Hook",Intermediate,https://www.crochet.com/urban-garden-throw/p/58030,Urban_Garden_Throwby_Maria_OKeefe.jpg
Vanilla Latte Super Scarf,"This generously sized scarf makes a versatile addition to any winter wardrobe and a thoughtful handmade gift. It can be worn long, wrapped multiple times around the neck, or even pulled over the head as a hood. Worked lengthwise, the scarf features alternating rows of paired single crochet stitches, which create subtle ridges, and treble crochet stitches that give the design a frothy feel. The resulting fabric's tendency to lean to one side can be corrected by blocking.","Vanilla Latte Super Scarf This generously sized scarf makes a versatile addition to any winter wardrobe and a thoughtful handmade gift. It can be worn long, wrapped multiple times around the neck, or even pulled over the head as a hood. Worked lengthwise, the scarf features alternating rows of paired single crochet stitches, which create subtle ridges, and treble crochet stitches that give the design a frothy feel. The resulting fabric's tendency to lean to one side can be corrected by blocking. Intermediate 12"" x 80"" Worsted Wool Size I/9 (5.5mm) Crochet hook",Intermediate,https://www.crochet.com/vanilla-latte-super-scarf/p/58151,Vanilla_Latte_Super_Scarfby_Kathleen_Berlew.jpg
Varsity Scarf,"Sports fans on your holiday list will love a cozy, stylish scarf customized in their favorite team’s colors. The easy, endlessly adaptable design is perfect for those who are less enthusiastic about sports, too--just switch the color scheme to match their favorite fashion palette.","Varsity Scarf Sports fans on your holiday list will love a cozy, stylish scarf customized in their favorite team’s colors. The easy, endlessly adaptable design is perfect for those who are less enthusiastic about sports, too--just switch the color scheme to match their favorite fashion palette. Crochet Beginner 7.5” Wide x 63” Long, excluding fringe Worsted US J/10 (6.0mm) Crochet hook",Beginner,https://www.crochet.com/varsity-scarf/p/N5067,Varsity_Scarfby_Kathleen_Berlew.jpg
Verdura Bag,"Pale honeydew meets vivid green in this showpiece bag. Simple and stylish, it goes with everyday summer outfits. Essentially made with 2 disks and 1 strip seamed together (plus handles), it's easy and fun to make. Leaves are worked separately and then sewn onto the bag. Felt lining makes the bag sturdy and non-stretching. No specific sewing skills are needed.","Verdura Bag Pale honeydew meets vivid green in this showpiece bag. Simple and stylish, it goes with everyday summer outfits. Essentially made with 2 disks and 1 strip seamed together (plus handles), it's easy and fun to make. Leaves are worked separately and then sewn onto the bag. Felt lining makes the bag sturdy and non-stretching. No specific sewing skills are needed. Crochet Intermediate 11"" diameter, without handles Worsted Cotton U.S. E/4 (3.5 mm) crochet hook",Intermediate,https://www.crochet.com/verdura-bag/p/58076,Verdura_Bagby_Kate_Alinari.jpg
Victoria Falls Throw,"Inspired by heavy cotton tasseled throws from multiple cultures, this chevron blanket worked in tones of neutral and grey is a DIY take on a timeless classic. Worked in a chevron pattern of single crochet, and designed for basic crochet skills, this throw is sure to be a firm fave. Easy to memorize, the pattern is perfect for working up while watching a movie!","Victoria Falls Throw Inspired by heavy cotton tasseled throws from multiple cultures, this chevron blanket worked in tones of neutral and grey is a DIY take on a timeless classic. Worked in a chevron pattern of single crochet, and designed for basic crochet skills, this throw is sure to be a firm fave. Easy to memorize, the pattern is perfect for working up while watching a movie! Crochet Beginner 56"" x 49"" Worsted Wool Size K/10.5 (6.5mm) crochet hook",Beginner,https://www.crochet.com/victoria-falls-throw/p/58115,Victoria_Falls_Throwby_Tiam_Safari.jpg
Vista Wrap,"Crochet your favorite vista into this meditative wrap designed to represent the view that lights you up. Whether it’s the calming horizon of your home or a faraway vision in your dreams, choose a color palette that speaks to your soul and indulge in the simple stitches and textures that transport you there.","Vista Wrap Crochet your favorite vista into this meditative wrap designed to represent the view that lights you up. Whether it’s the calming horizon of your home or a faraway vision in your dreams, choose a color palette that speaks to your soul and indulge in the simple stitches and textures that transport you there. Crochet Beginner 70"" x 31"" Worsted US H/8 (5mm) crochet hook",Beginner,https://www.crochet.com/vista-wrap/p/N8174,Vista_Wrapby_Two_of_Wands.jpg
Waffle Stitch Throw,"The Waffle Stitch Afghan is a knit afghan pattern made with super bulky weight yarn that has a skill level of easy. To support our Independent Designers , this pattern is excluded from promotions.","Waffle Stitch Throw The Waffle Stitch Afghan is a knit afghan pattern made with super bulky weight yarn that has a skill level of easy. To support our Independent Designers , this pattern is excluded from promotions. Knit Beginner approx 42"" x 60"" Super Bulky Acrylic Circular knitting needle size 11 (8 mm),",Beginner,https://www.crochet.com/waffle-stitch-throw/p/N3744,Waffle_Stitch_Throwby_Lion_Brand.jpg
Washington Park Cowl-Neck Sweater,"There's always something to do at the park! Whether you're watching kids at the playground or walking the trails, you need something cute to wear on your outing. The Washington Park Cowl Neck Sweater is fun to make and even more fun to wear: a variety of stitches will keep you entertained throughout the project. Front, back, and sleeves are worked separately from bottom up. Sleeves are easily seamed to body in a drop shoulder construction. Relaxed fit supports a variety of sizes and preferred ease. The sweater grows fast with medium weight yarn and a 5mm hook, and the fabric is light and pliable. Wide cowl neck seamlessly continues from body to collar.","Washington Park Cowl-Neck Sweater There's always something to do at the park! Whether you're watching kids at the playground or walking the trails, you need something cute to wear on your outing. The Washington Park Cowl Neck Sweater is fun to make and even more fun to wear: a variety of stitches will keep you entertained throughout the project. Front, back, and sleeves are worked separately from bottom up. Sleeves are easily seamed to body in a drop shoulder construction. Relaxed fit supports a variety of sizes and preferred ease. The sweater grows fast with medium weight yarn and a 5mm hook, and the fabric is light and pliable. Wide cowl neck seamlessly continues from body to collar. Crochet Advanced 40.5"" finished chest, 43.5"" finished chest, 47"" finished chest, 50"" finished chest, 53.5"" finished chest, 56.5"" finished chest DK Alpaca Size H/8 (5.0mm) crochet hook",Advanced,https://www.crochet.com/washington-park-cowl-neck-sweater/p/58122,Washington_Park_Cowl-Neck_Sweaterby_Natasha_Robarge.jpg
Waves Afghan,"This easy afghan is fun and functional - a perfect project for a winter day. Afghan is worked in rows, changing yarn color following a Stripe Sequence.","Waves Afghan This easy afghan is fun and functional - a perfect project for a winter day. Afghan is worked in rows, changing yarn color following a Stripe Sequence. Crochet Beginner About 42 x 55"", including border DK US I-9/5.5mm crochet hook",Beginner,https://www.crochet.com/waves-afghan/p/N8168,Waves_Afghanby_Lion_Brand.jpg
Wedded Wall Hanging,"This filet crochet wall d é cor features French-style scroll motifs making it the perfect versatile wall hanging when worked up in delicate thread. This project is perfect for hanging as decoration at a wedding, outdoor garden party, or in your home. The wall hanging is worked from the top down, using just a few basic stitches and a simple chart. Follow the chart to create the patterning, and attach to a dowel or branch for hanging.","Wedded Wall Hanging This filet crochet wall d é cor features French-style scroll motifs making it the perfect versatile wall hanging when worked up in delicate thread. This project is perfect for hanging as decoration at a wedding, outdoor garden party, or in your home. The wall hanging is worked from the top down, using just a few basic stitches and a simple chart. Follow the chart to create the patterning, and attach to a dowel or branch for hanging. Crochet Intermediate 5.5"" x 14.5, excluding tassel and hanging ribbon Lace Cotton Size 7 (1.65mm) Steel Crochet hook",Intermediate,https://www.crochet.com/wedded-wall-hanging/p/58041,Wedded_Wall_Hangingby_Kristen_Clay.jpg
Wedding Planner Dress,Exquisite fabric in diamond lace with ornate picots makes this comfortable summer dress worthy of special occasions. The inspiration for this dress was the work of a wedding planner at a beach wedding who tends to her duties in a beautiful and stylish but functional and easy-to-wear garment. The dress will also look edgy and chic with leggings. The dress is worked top down. The construction allows length adjustments for better fit and individual style. Oversized sleeves are worked as part of the front and back in one piece.,"Wedding Planner Dress Exquisite fabric in diamond lace with ornate picots makes this comfortable summer dress worthy of special occasions. The inspiration for this dress was the work of a wedding planner at a beach wedding who tends to her duties in a beautiful and stylish but functional and easy-to-wear garment. The dress will also look edgy and chic with leggings. The dress is worked top down. The construction allows length adjustments for better fit and individual style. Oversized sleeves are worked as part of the front and back in one piece. Crochet Advanced 40"" finished chest measurement, 45"" finished chest measurement, 48"" finished chest measurement, 52"" finished chest measurement, 56"" finished chest measurement Fingering Cotton Size F/5 (3.75mm) Crochet hook",Advanced,https://www.crochet.com/wedding-planner-dress/p/58059,Wedding_Planner_Dressby_Natasha_Robarge.jpg
