title,description,Pattern Type,Difficulty,Sizes Included,Yarn Weight,Yarn Line,Yardage,Fiber Type,Needle / Hook Sizes,image_url,local_path,pattern_link
Cannon Mountain Cardiganby Anastasia Popova,"Ready to wrap up in style? This cardigan is a versatile choice. Pull it in at the waist with its coordinating optional sash for a snug fit, and use its hood for extra warmth. Length finishes at low thigh. And of course, everything is better with pockets! The body is worked in one piece from the bottom up to the underarm. The sleeves are worked from the cuff up with a diamond cable and bobbles. Then the sleeves and body are joined and the yoke is worked with raglan shaping. The main stitch of the cardigan is linked double crochet which creates beautiful texture with a nice drape. The color used in the sample is no longer available. We have made substitution suggestions in the Kit Builder below.",Crochet,Intermediate,"38"" finished chest, 42"" finished chest, 46"" finished chest, 50"" finished chest, 54"" finished chest",Worsted,,1870-3520,Wool,Size H/8 (5.00mm) crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/58127220.jpg~w=1000,h=1000,v=1",../data/images\Cannon_Mountain_Cardiganby_Anastasia_Popova.jpg,https://www.crochet.com/cannon-mountain-cardigan/p/58127
Canopy Shawlby Rebecca Velasquez,"This shawl is inspired by the ever-reaching forest canopy: a repeating zigzag pattern grows progressively longer, ending in a row of outstretched picots, reminiscent of the leaves on treetops. The shawl is worked flat from the center out, growing in depth and width with every row. Refer to the image on page 4 for guidance.",Crochet,Advanced,One size fits most,Lace,,721,Cotton,U.S. F/5 (3.75 mm) crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/58086220.jpg~w=1000,h=1000,v=1",../data/images\Canopy_Shawlby_Rebecca_Velasquez.jpg,https://www.crochet.com/canopy-shawl/p/58086
Carnaby Striped Dressby Lion Brand,"Playful stripes make the Carnaby Striped Dress ideal for layering over shirts or leggings, adding both style and comfort to any outfit. Crafted with ease in mind, this dress is a delightful addition to your child’s wardrobe and a satisfying project for any crochet enthusiast. To support our Independent Designers , this pattern is excluded from promotions.",Crochet,Easy,"Sm - 28"" finished chest, Md - 30"" finished chest, Lg - 33"" finished chest",Worsted,,984-1230,,US I/9 (5.5mm) crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/n9186.jpg~w=1000,h=1000,v=1",../data/images\Carnaby_Striped_Dressby_Lion_Brand.jpg,https://www.crochet.com/carnaby-striped-dress/p/N9186
Carsyn Cardiganby Lion Brand,"Colorful & stylish, this beginner level cardigan is perfect for throwing on for a night on the town. To support our Independent Designers , this pattern is excluded from promotions.",Crochet,Easy,"46"" finished chest , 52"" finished chest , 58"" finished chest , 64"" finished chest","Bulky, Worsted",,1480-2035,Acrylic,Crochet hook size N (10 mm),"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/n5319.jpg~w=1000,h=1000,v=1",../data/images\Carsyn_Cardiganby_Lion_Brand.jpg,https://www.crochet.com/carsyn-cardigan/p/N5319
Cascina Cabled Headbandby Quayln Stark,"The twisting and braiding of cables in tandem with pops of bobbles conjure a picture of crawling ivy and climbing roses on this contemporary yet classic headband. The Cascina Cabled Headband is an oval-shaped ear warmer, worked flat from point to point, then seamed together at the end with an elastic hair tie. Unique wedge cable shaping grows from one cable to six at the start and shrinks from six cables down to one at the end.",Crochet,Intermediate,4'' wide x 18'' circumference,DK,,246,Wool,Size F/5 (3.75 mm) crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/58126220.jpg~w=1000,h=1000,v=1",../data/images\Cascina_Cabled_Headbandby_Quayln_Stark.jpg,https://www.crochet.com/cascina-cabled-headband/p/58126
Cassette Afghanby Lee Sartori,"Make the ultimate homage to the music of the 80s with this pop-color Cassette Afghan. Have fun choosing colors to create the perfect mix of shades for this fun and funky throwback. Pattern is written in 3 parts. Cassette Wheels are worked separately, then joined together in rounds to create body of the Cassette. Cassette Reel is worked as an applique.",,Intermediate,"57 x 71""",Bulky,,7344,Acrylic,G/4.0mm crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/58197220.jpg~w=1000,h=1000,v=1",../data/images\Cassette_Afghanby_Lee_Sartori.jpg,https://www.crochet.com/cassette-afghan/p/58197
Casual Carry All Bagby 10 Hours or Less,"Turn a flat piece of fabric into a smart and stylish crocheted bag! Ideally suited for heavy worsted or light bulky weight yarn, this crossbody carryall features a ridged front flap and a basic single crochet body. Neatly fastened with a sew–on snap, the simple construction makes it a suitable choice for beginners. Bag is worked back–and–forth in rows in one continuous piece from front flap to strap. Once the stitching is complete, the sides and strap are sewn together to join.",Crochet,Beginner,"12” width × 11” length × 2” depth, not including strap - Bright, 12” width × 11” length × 2” depth, not including strap - Neutral",Bulky,,548,,US H/8 (5mm) Crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/n7767.jpg~w=1000,h=1000,v=1",../data/images\Casual_Carry_All_Bagby_10_Hours_or_Less.jpg,https://www.crochet.com/casual-carry-all-bag/p/N7767
Catfish Purr-Maidby Brenda K.B. Anderson,"The fun fish-scale textured tail is worked back and forth in rows for cleaner results. The Tail Fin is worked back and forth in vertical rows through the back lps to give it a ribbed appearance. Features are crocheted with embroidery floss and then stitched to head, making it easier to get the expression you want. The rest of this Catfish Purr-maid's pieces are worked in the round in typical amigurumi style.",,Intermediate,"19"" tall, excluding ears",Worsted,,1248,Wool,US E/4 (3.5mm) crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/58089220.jpg~w=1000,h=1000,v=1",../data/images\Catfish_Purr-Maidby_Brenda_KB_Anderson.jpg,https://www.crochet.com/catfish-purr-maid/p/58089
Cathedral Cable Mittensby Brenda K.B. Anderson,"Inspired by gothic cathedral windows, these pretty mittens feature elegant cables that climb upward to meet at the fingertip under an archway of post stitches. Mittens are worked bottom up, in the round without joins. When working from the cable chart, pay close attention to where to begin as this is different for each size. The Round number of mitten directions does not correspond to the round number of cable chart. Color used in the sample is no longer available. We have made some substitution suggestions in the Kit Builder below.",,Intermediate,"7.75"" x 11"" , 8.5"" circ. (excluding thumb) x 12.25"" length",DK,,330,Alpaca,Size D/3 (3.25mm) Crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/58253220.jpg~w=1000,h=1000,v=1",../data/images\Cathedral_Cable_Mittensby_Brenda_KB_Anderson.jpg,https://www.crochet.com/cathedral-cable-mittens/p/58253
CeCe Bagby Alyssa George,"Inspired by coastal vibes and warm summer breezes, this bag is your perfect companion for exploring new places, finding old treasures, and soaking up all that summer has to offer.",,Intermediate,"15.5"" High x 13.5"" Wide",Worsted,,770,Wool,I/9 (5.5mm) Crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/58288220.jpg~w=1000,h=1000,v=1",../data/images\CeCe_Bagby_Alyssa_George.jpg,https://www.crochet.com/cece-bag/p/58288
Celtic Afghanby Lion Brand,"The Celtic Afghan - Version 1 is a crochet afghan pattern made with medium weight yarn that has a skill level of advanced. To support our Independent Designers , this pattern is excluded from promotions.",Crochet,Advanced,Approx. 48 wide x 60 long,Worsted,,2040,Acrylic,Crochet hook size N-13 (9 mm),"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/n5308.jpg~w=1000,h=1000,v=1",../data/images\Celtic_Afghanby_Lion_Brand.jpg,https://www.crochet.com/celtic-afghan/p/N5308
Celtic Weave Dishclothby Tian Connaughton,"Brighten the winter months with this cheerful project! This dishcloth features a textured woven inspired stitch, using both the front post treble stitch and the back post treble stitch. The end result is a beautiful dishcloth that will last through wash after wash.",Crochet,Intermediate,"10"" square",Worsted,,95,Cotton,Size G/6 (4mm): crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/56034220.jpg~w=1000,h=1000,v=1",../data/images\Celtic_Weave_Dishclothby_Tian_Connaughton.jpg,https://www.crochet.com/celtic-weave-dishcloth/p/56034
Checkmate Vestby Lion Brand,"Create a vibrant and cozy child's vest with the Checkmate Vest crochet pattern, featuring a striking checkerboard design. Crafted using Color Theory yarn, this project is both easy to make and care for, perfect for adding a playful touch to your little one’s wardrobe. To support our Independent Designers , this pattern is excluded from promotions.",Crochet,Easy,"Sm - 28"" finished chest, Med - 30"" finished chest, Lg - 33"" finished chest",Worsted,,738,,US H/8 (5mm) crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/n9184.jpg~w=1000,h=1000,v=1",../data/images\Checkmate_Vestby_Lion_Brand.jpg,https://www.crochet.com/checkmate-vest/p/N9184
Chevron Dishclothby Tian Connaughton,This dishcloth is created using chunky chevrons with a simple single crochet edge and loop for hanging. Works great in both multi and solid yarns!,Crochet,Intermediate,"8 x 8.25""",Worsted,,95,Cotton,Size H/8 (5mm): crochet hoook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/56035220.jpg~w=1000,h=1000,v=1",../data/images\Chevron_Dishclothby_Tian_Connaughton.jpg,https://www.crochet.com/chevron-dishcloth/p/56035
Chevron Loopy Cushionby Tiam Safari,"Add another layer of softness to your d é cor with this loopy cushion. Alternating chevron stripes of single crochet with loops creates a beautiful texture. The cushion is worked flat, with a plain back and an easy-to-remember chevron pattern on the front panel, and an overlapped back panel to make removing the insert and washing your cover a breeze!",,Intermediate,"15.75"" square, to fit 17.75"" square cushion insert",Bulky,,1233,Wool,Size I/9 (5.5mm) Crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/58214220.jpg~w=1000,h=1000,v=1",../data/images\Chevron_Loopy_Cushionby_Tiam_Safari.jpg,https://www.crochet.com/chevron-loopy-cushion/p/58214
Chromatic Granny Stripe Cowlby Hannah Maier,"Granny stripe enthusiasts, rejoice! This super simple stitch shows off the subtly shifting hues of two Chroma Twist colorways as you crochet your way around this oh-so-wearable cowl. Every cluster of double crochets is unique as the Chroma plies change across each hank, for a truly mesmerizing project. Yarn used in the sample is no longer available; we have made a similar color suggestion in the yarn calculator below.",,Intermediate,"58"" x 9.5"" blocked",Fingering,,874,Wool,Size D (3.25mm): crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/55954220.jpg~w=1000,h=1000,v=1",../data/images\Chromatic_Granny_Stripe_Cowlby_Hannah_Maier.jpg,https://www.crochet.com/chromatic-granny-stripe-cowl/p/55954
Chrysalis Cardigan Setby Dawn Curran,"Inspired by the life cycle of a butterfly, these big and small cardigans feature a caterpillar motif on the child's cardigan and a butterfly motif on the adult cardigan. The main body of the sweater is made in an easy stitch pattern with a rib edging worked all around. The caterpillar and butterfly motifs on the pockets are made using intarsia crochet which are then sewn onto the cardigan fronts. While the adult cardigan is designed to be worn open, the child's cardigan is designed with button fastening for practicality.",Crochet,Intermediate,"26"" finished chest measurement, 28"" , 30"" , 31.5"", 33"" , 35"", 39"" , 43"" , 47"", 51"" , 55""",Sport,,1100-2640,Cotton,Sizes D/3 (3.25mm) & F/5 (3.75mm) Crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/58049220.jpg~w=1000,h=1000,v=1",../data/images\Chrysalis_Cardigan_Setby_Dawn_Curran.jpg,https://www.crochet.com/chrysalis-cardigan-set/p/58049
Chunky Rib Tunisian Hat and Cowlby WeCrochet Design Team,"Designed for both beginners and for anyone in search of last-minute gifts, this hat and cowl set is the perfect choice for wintry days. The chunky texture looks equally great worked in either ombre or solid color yarn.",Crochet,Easy,"Hat 19.25"" circumference and Cowl 12"" tall - Greens, Hat 19.25"" circumference and Cowl 12"" tall - Blues",Worsted,,872,,Hat: US H/8 (5.0mm) Tunisian hook; Cowl: US K/10.5 (6.5mm) Tunisian hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/n5068.jpg~w=1000,h=1000,v=1",../data/images\Chunky_Rib_Tunisian_Hat_and_Cowlby_WeCrochet_Design_Team.jpg,https://www.crochet.com/chunky-rib-tunisian-hat-and-cowl/p/N5068
Circle Cushion (Crochet)by Lion Brand,"The Circle Cushion is a crochet pattern made with jumbo weight yarn that has a skill level of easy. To support our Independent Designers , this pattern is excluded from promotions.",Crochet,Easy,"Approx 15""",Jumbo,,78,Acrylic,Crochet hook U-50 (25 mm),"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/n3748.jpg~w=1000,h=1000,v=1",../data/images\Circle_Cushion_Crochetby_Lion_Brand.jpg,https://www.crochet.com/circle-cushion-crochet/p/N3748
Circle Of Flowers Afghanby Lion Brand,"The Circle Of Flowers Afghan is a crochet throw pattern made with medium weight yarn that has a skill level of intermediate. To support our Independent Designers , this pattern is excluded from promotions.",Crochet,Advanced,"Approx 60"" diameter",Worsted,,2210,Acrylic,Crochet hook size I-9 (5.5 mm),"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/n5305.jpg~w=1000,h=1000,v=1",../data/images\Circle_Of_Flowers_Afghanby_Lion_Brand.jpg,https://www.crochet.com/circle-of-flowers-afghan/p/N5305
Clara Dressby Alla Koval,"Enjoy springtime sweetness year-round with this intriguing lace crochet dress. It looks intricate but is actually easy to make! This dress is worked in turned rounds. The skirt is worked first, from the top down, with layers increasing to hem by adding additional shells. Make skirt in any length by repeating the last layer. Bodice is worked after the skirt, from the waist up to armholes.",,Intermediate,"6-12 months, 18-24 months, 3/4T , 4/6T",Lace,,1442-2163,Cotton,Size 9 (1.40mm) Steel Crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/58207220.jpg~w=1000,h=1000,v=1",../data/images\Clara_Dressby_Alla_Koval.jpg,https://www.crochet.com/clara-dress/p/58207
Clean Sweep Rugby Katy Petersen,"Sweep away the gray and pop some color with the Clean Sweep Rug. Brava Mini Packs make choosing colors a no-brainer, or use up small amounts of leftover yarn for a truly unique project that will make your home happy. The Clean Sweep Rug can be made as a circle or rectangle. The circle rug is worked in turned rounds to the desired diameter. The rectangle rug is worked flat, changing color every row and leaving the ends to make the fringe. For both shapes, change color every round/row alternating between MC and colors from the mini pack chosen at random.",Crochet,Intermediate,"Small Circle, Large Circle, Small Rectangle, Large Rectangle",Worsted,,1744-3706,Acrylic,H/5.0mm crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/58193220.jpg~w=1000,h=1000,v=1",../data/images\Clean_Sweep_Rugby_Katy_Petersen.jpg,https://www.crochet.com/clean-sweep-rug/p/58193
Clematis Headbandby Kate Alinari,"Crocheting gifts should be fun and joyful, so plan in advance and choose cute and easy-to-make projects. This headband is quick to make if you have some experience with crochet cables. If not, it's a good opportunity to try out a new skill with a small project. This cable headband is crocheted flat, in rows, using single crochet and front post stitches to make cables. Only one seam is needed to form a ring. An elastic band is added at the back for a secure fit.",Crochet,Intermediate,"22"" circumference x 3.5"" Wide",Worsted,,190,Cotton,E/4 (3.5mm) crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/55071220.jpg~w=1000,h=1000,v=1",../data/images\Clematis_Headbandby_Kate_Alinari.jpg,https://www.crochet.com/clematis-headband/p/55071
Cloud Nine Hair Towelby Smitha Crasta,"Bath leisure is something we all love. A cute and pretty hair towel, instead of a boring every day one, just adds enough oomph to an otherwise regular spa at home. Designed in CotLin, this towel is efficient in absorbing dampness and is soft on hair. A quick Tunisian hair towel with colorful bobbles worked into the Tunisian knit stitches. The towel is worked in two panels which are seamed at the top. It can be customized to any hair length.",,Intermediate,"Small: 11"" wide, 15"" long, Medium: 11"" wide, 25"" long, Large: 11"" wide (at widest point), 28"" long","DK, Worsted",,615-738,Cotton,E/4 (3.5mm) crochet hook & L/11 (8.0mm) Tunisian hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/55076220.jpg~w=1000,h=1000,v=1",../data/images\Cloud_Nine_Hair_Towelby_Smitha_Crasta.jpg,https://www.crochet.com/cloud-nine-hair-towel/p/55076
Color Block Cushionby Helen Anderson,"This fresh, modern color block project can be created with bold contrasting color sections or subtle shade changes. Its versatility and playfulness make it a welcome addition to any sofa. The Color Block Cushion is crocheted in one piece from the bottom up. Worked flat, it is then folded and seamed along the side seams with a 4"" overlap creating an envelope style opening at the back.",Crochet,Intermediate,"17"" square",Worsted,,1248,Wool,US I/9 (5.5mm) Crochet Hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/58015220.jpg~w=1000,h=1000,v=1",../data/images\Color_Block_Cushionby_Helen_Anderson.jpg,https://www.crochet.com/color-block-cushion/p/58015
Color Me Perfect Wrapby Lisa Borum,"The Color Me Perfect Wrap is a vibrant, lightweight accessory featuring linen stitch for a soft, woven texture. Alternating eight bold colors, it creates a striking yet wearable piece that adds flair to any outfit. Bursts of color and calming rhythm come together in the Color Me Perfect Wrap, inspired by the beauty of individuality and joyful self-expression. Like brushstrokes on a canvas, each shade adds depth, warmth, and personality to this eye-catching accessory meant to brighten any day. The wrap is worked flat using linen stitch, a beginner-friendly technique that creates a beautifully textured, woven-like fabric. Featuring eight alternating colors, it includes simple color changes, clean edges, and a rhythmic stitch pattern that makes it both meditative to crochet and visually striking when worn.",Crochet,Easy,"20"" width × 70"" length",Worsted,,1760,,US H/8 (5mm) crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/n9047.jpg~w=1000,h=1000,v=1",../data/images\Color_Me_Perfect_Wrapby_Lisa_Borum.jpg,https://www.crochet.com/color-me-perfect-wrap/p/N9047
Color Me Quick Vestby 10 Hours or Less,"Basic stitches in super bulky combine to create a fast and fun crocheted vest! The simple straight–edged silhouette doesn’t require increasing or decreasing. That means fuss-free stitching for both new and experienced crocheters. Vest is worked back–and–forth in rows in one piece from bottom to armholes. Then the piece is divided and the fronts worked separately from the back. After stitching is complete, the shoulders are sewn together to join. Sizes included: 27.75 (30.5, 33.75, 39, 42.5)(45, 50.25, 53.5, 57)” finished chest; meant to fit 28–30 (32–34, 36–38, 40–42, 44–46)(48–50, 52–54, 56–58, 60–62)” chest circumference. Shown in size 33.75.""",Crochet,Beginner,"27.75 -30.5"" finished chest - Bright, 33.75 -57"" finished chest - Bright, 27.75 -30.5"" finished chest - Neutral, 33.75 -57"" finished chest - Neutral",Super Bulky,,218-327,,US L/11 (8mm) Crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/n7764.jpg~w=1000,h=1000,v=1",../data/images\Color_Me_Quick_Vestby_10_Hours_or_Less.jpg,https://www.crochet.com/color-me-quick-vest/p/N7764
Color Pop Super Scarfby Two of Wands,"Conquer the chilliest of temps and bundle up with this bold super scarf, or simply drape it over the shoulders as an extra layer. Easy, quick, and repetitive granny clusters become addicting in this design as you watch the colors pop with each contrasting row.",,Beginner,"12"" x 82""",Bulky,,685,Wool,Size N/P (10mm): hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/58217220.jpg~w=1000,h=1000,v=1",../data/images\Color_Pop_Super_Scarfby_Two_of_Wands.jpg,https://www.crochet.com/color-pop-super-scarf/p/58217
Coloratura Lace Topby Rachel Beth,"The Coloratura Lace Top features a delicate shell stitch in a range of colors that is set against a solid accent color. This top makes a sophisticated addition to your summer wardrobe. The top is worked from the bottom up, initially in the round and then in rows for the front and back of the chest, which are identical rectangles. Finally, the front and back are joined at each shoulder, creating a boat neck. The top features a four-row lace repeat alternating with two rows of solid double crochet. The pattern uses one main color and several different accent colors. Use a different accent color for each repeat of Rounds 3-6 in the main body and Rows 1-4 (or Rows 7, 2-4) of the front and back panels. Use the same color sequence for the front and back panels. Some colors used in the sample are no longer available. We have made substitution suggestions in the Kit Builder.",Crochet,Intermediate,"32"" finished chest measurement, 35"" finished chest measurement, 37.75"" finished chest measurement, 40.75"" finished chest measurement, 43.75"" finished chest measurement, 46.5"" finished chest measurement, 49.5"" finished chest measurement, 52.25"" finished chest measurement, 55.25"" finished chest measurement, 58.25"" finished chest measurement, 61"" finished chest measurement, 64""  finished chest measurement",Fingering,,1281-2745,Wool,D/3.25mm crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/58225220.jpg~w=1000,h=1000,v=1",../data/images\Coloratura_Lace_Topby_Rachel_Beth.jpg,https://www.crochet.com/coloratura-lace-top/p/58225
Colorwork Yoke Sweaterby Amy Gunderson,"Modern, graphic colorwork covers the circular yoke of this pullover. A herringbone post stitch pattern placed on lower body and sleeves echoes the lines of the yoke. Challenge yourself to learn new techniques like stranded crochet and post stitches in this winter wardrobe staple. This sweater is worked seamlessly from the top down. Yoke increases are worked directly into the fair isle patterning. Garment is meant to be worn with 2-6"" of ease.",Crochet,Advanced,"34""  finished chest measurement, 39.5"" finished chest measurement, 45.25"" finished chest measurement, 50.75"" finished chest measurement, 56.5"" finished chest measurement, 62"" finished chest measurement",Worsted,,2000-3750,Wool,US 7 (4.5mm) & US H/8 (5.00mm) Crochet Hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/58026220.jpg~w=1000,h=1000,v=1",../data/images\Colorwork_Yoke_Sweaterby_Amy_Gunderson.jpg,https://www.crochet.com/colorwork-yoke-sweater/p/58026
Columbia River Cabled Hatby Alla Koval,"Named after the great Pacific Northwest river, the Columbia River Cable Hat is crocheted in a striking combination of popcorn stitches and post stitches that create a stunning allover pattern reminiscent of the swirls and eddies of a river. The Columbia River Cabled Hat is worked from brim to crown in joined rounds. The band is worked after hat is complete. The first Back Post Double Crochet of each round is worked around the first BPDC and beg ch-2 together. Some colors used in the sample are no longer available; we have made similar color suggestions in the kit builder.",Crochet,Intermediate,"21"" circumference",DK,,450,Alpaca,Size G/6 (4.0mm) crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/58119220.jpg~w=1000,h=1000,v=1",../data/images\Columbia_River_Cabled_Hatby_Alla_Koval.jpg,https://www.crochet.com/columbia-river-cabled-hat/p/58119
Comfort Crochet Pet Blanketby Stacey Winklepleck,"Animals need their comfort, too! This sweet Snuggle blanket is designed to make dogs and cats stay in shelters a bit calmer. A simple basketweave pattern and soft acrylic yarn create a blanket that can be washed again and again.",,Intermediate,"14"" x 14"", 24"" x 24"", 36"" x 36""",Bulky,,544-952,Acrylic,US 15/N (9mm) crochet hook  or size to obtain gauge,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/55687220.jpg~w=1000,h=1000,v=1",../data/images\Comfort_Crochet_Pet_Blanketby_Stacey_Winklepleck.jpg,https://www.crochet.com/comfort-crochet-pet-blanket/p/55687
Confused Textures Dishclothby Jennifer Pionk,"If you live for texture, this dishcloth won't disappoint! It looks great in variegated and solids. For a little more punch, add a couple stripes in a contrasting color.",Crochet,Intermediate,"8.25"" x 8""",Worsted,,95,Cotton,"H/5mm, I/5.5mm crochet hooks","https://d2q9kw5vp0we94.cloudfront.net/i/_/big/56000220.jpg~w=1000,h=1000,v=1",../data/images\Confused_Textures_Dishclothby_Jennifer_Pionk.jpg,https://www.crochet.com/confused-textures-dishcloth/p/56000
Conifer Scarfby Elena and Kamila,"With just a two-row repeat the Conifer Scarf will be your go-to for gift giving this season. Worked with a row of cluster stitches and a row of single crochet, this is an ideal beginner crochet pattern while also perfect when you have a need for a quick crochet project. Slip into the meditative practice of crochet as this scarf flows off your hook, one stitch at a time. Wool of the Andes™ (bulky, 100% Peruvian Highland Wool; 137yds/100g): MC Lumberjack 28216; 3 hanks C1 Gosling 28214; 2 hanks C2 Masala 28217; 2 hanks",Crochet,Easy,"13"" Wide x 66"" Long",Bulky,,959,Wool,US L/11 (8mm) Crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/58294220.jpg~w=1000,h=1000,v=1",../data/images\Conifer_Scarfby_Elena_and_Kamila.jpg,https://www.crochet.com/conifer-scarf/p/58294
Cookies & Cream Dishclothby Heidi Wells,"Much like the experience of eating a cookie, this dishcloth pattern is sweet, easy and addicting. Simple rows of half double crochet in alternating colors are worked up in a jiffy, leaving you plenty of time to finish that cookie snack.",Crochet,Easy,"6.5"" square",DK,,143,Cotton,Size 9/I (5.5mm): crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/55595220.jpg~w=1000,h=1000,v=1",../data/images\Cookies__Cream_Dishclothby_Heidi_Wells.jpg,https://www.crochet.com/cookies-cream-dishcloth/p/55595
Corner to Corner Afghanby Sara Dudek,"Create a classic corner to corner (C2C) afghan inspired by modern quilts. Make this lovely blanket in your favorite colors to complement any space in your home. Learn the corner to corner technique with this afghan pattern. In making this project, you'll learn C2C increasing, decreasing, how to read a chart, and changing colors. After this project, you'll be ready to tackle any C2C pattern!",Crochet,Intermediate,"48"" square",Bulky,,1632,Acrylic,Size K (6.5mm) Crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/58064220.jpg~w=1000,h=1000,v=1",../data/images\Corner_to_Corner_Afghanby_Sara_Dudek.jpg,https://www.crochet.com/corner-to-corner-afghan/p/58064
Cozy Cabin Throw Blanketby Jessica Herr,"Designed to add warmth and style to any space, this cozy throw blanket combines simple stitches with luxurious yarn, resulting in a blanket that’s as enjoyable to make as it is to use. The Cozy Cabin Throw Blanket pattern uses two yarn colors to make a fun and simple striped design. The piece is worked in turned rows and utilizes the crumpled griddle stitch. On each corner of the blanket, there is a colorful and cute pompom to add a bit of flair to this otherwise simple and elegant design.",Crochet,Easy,50” Wide x 58” Long,Bulky,,2584,Cotton,US size J/10 (6.0mm) hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/n5061.jpg~w=1000,h=1000,v=1",../data/images\Cozy_Cabin_Throw_Blanketby_Jessica_Herr.jpg,https://www.crochet.com/cozy-cabin-throw-blanket/p/N5061
Cozy Infinity Scarfby Miroslava Mihalkova,reshly fallen snow on fields with gentle peaks and troughs intimately contouring the landscape inspired this textured infinity scarf. The scarf is the perfect accessory to wrap yourself in when refreshing your soul and mind in the nature sanctuary during winter months. The scarf is worked flat along the long edge. It begins with a row of foundation Single Crochet and ends with a row of Single Crochet. The six-row repeat of Single Crochet and 3 rows of Half Double Crochet is worked for the width of the scarf.,,Intermediate,"67"" x 8""","Bulky, Aran/Heavy Worsted",,579,Wool,Size K/10½ (6.5mm) Crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/58160220.jpg~w=1000,h=1000,v=1",../data/images\Cozy_Infinity_Scarfby_Miroslava_Mihalkova.jpg,https://www.crochet.com/cozy-infinity-scarf/p/58160
Creamsicle Dishclothby Sarah Nairalez,Textured stitches are a favorite for dishcloths. Using a Puff Stitch in a checkerboard configuration not only looks visually pleasing but also adds extra texture to your dishcloth.,Crochet,Intermediate,"10"" square",Worsted,,380,Cotton,Size E/4 (3.5mm) Crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/58324220.jpg~w=1000,h=1000,v=1",../data/images\Creamsicle_Dishclothby_Sarah_Nairalez.jpg,https://www.crochet.com/creamsicle-dishcloth/p/58324
Crescendo Filet Wrapby Adinda Hening,"Looking for a summer accessory that is light and airy? This wrap can be your go-to. It is also easy to make as you only need to chain and double crochet. The wrap is worked flat from the center out. After one side is worked, new yarn is joined to the foundation chain to work the other side.",Crochet,Intermediate,"17.5"" x 64""",Fingering,,1380,Wool,G/4.0mm crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/58226220.jpg~w=1000,h=1000,v=1",../data/images\Crescendo_Filet_Wrapby_Adinda_Hening.jpg,https://www.crochet.com/crescendo-filet-wrap/p/58226
Cropped Square Topby Lion Brand,"This cute & fashionable top is perfect for your next spring outing! The Cropped Square Top is a crochet top pattern made with medium weight yarn that has a skill level of intermediate. To support our Independent Designers , this pattern is excluded from promotions.",Crochet,Intermediate,"36"" finished chest, 40"" finished chest, 44"" finished chest, 48"" finished chest, 51"" finished chest, 55"" finished chest",Worsted,,850-1360,,Size I/9 (5.5mm) crochet hook,"https://d2q9kw5vp0we94.cloudfront.net/i/_/big/n8392.jpg~w=1000,h=1000,v=1",../data/images\Cropped_Square_Topby_Lion_Brand.jpg,https://www.crochet.com/cropped-square-top/p/N8392
